punkt_id,station,strecke,seite,art,foto1,foto2,foto3,foto4,foto5,erfassungsdatum,erfasser,neu_oder_bestand,gnss_tauglichkeit,ril_konformitaet,status,einmessskizze,dbref_x,dbref_y,gk_zone,gps_latitude,gps_longitude,hoehe,gps_accuracy,ps0_vermarkungsart,ps0_vermarkungstraeger,ps0_andere_vermarkungsart,ps0_andere_vermarkungstraeger,ps1_vermarkungstraeger,ps1_andere_vermarkungstraeger,ps2_vermarkungsart,ps2_vermarkungstraeger,ps2_andere_vermarkungstraeger,ps3_vermarkungsart,ps3_vermarkungstraeger,ps3_andere_vermarkungsart,ps3_andere_vermarkungstraeger,ps4_vermarkungsart,ps4_gv_bolzen_traeger,ps4_messmarke_traeger,ps4_allgemeiner_traeger,ps4_gv_bolzen_laenge,ps4_hoehe_ueber_so,ps4_target_vorhanden,ps4_target_zustand,ps4_target_offset,ps4_mast_nummer,ps4_andere_traeger,lhp_tp_vermarkungsart,lhp_tp_vermarkungstraeger,lhp_tp_andere_vermarkungsart,lhp_tp_andere_vermarkungstraeger,bemerkungen,projekt_nummer
81-29T,,5321,Links,PS4,fotos/20260217_131803_81-29_1.jpg,fotos/20260217_131803_81-29_2_overlay.jpg,,,,2026-02-17T13:18:18.172523,User,Neupunkt,,Ja,Intakt,Keine Punktbeschreibung,,,,49.448694,10.284682,415.6,18.0,,,,,,,,,,,,,,GV-Bolzen,Mast,,,PS4GvBolzenLaenge.mm40,50.0,true,Intakt,,81-29,,,,,,171,28G0549110
81-30T,,5321,Rechts,PS4,fotos/20260217_131630_81-30_1.jpg,fotos/20260217_131630_81-30_2_overlay.jpg,,,,2026-02-17T13:16:44.840311,User,Neupunkt,,Ja,Intakt,Keine Punktbeschreibung,,,,49.448682,10.284648,415.6,22.0,,,,,,,,,,,,,,GV-Bolzen,Mast,,,PS4GvBolzenLaenge.mm40,40.0,true,Intakt,,81-30,,,,,,171,28G0549110
81-31T,,5321,Links,PS4,fotos/20260217_131947_81-31_1.jpg,fotos/20260217_131947_81-31_2_overlay.jpg,,,,2026-02-17T13:20:03.298762,User,Neupunkt,,Ja,Intakt,Keine Punktbeschreibung,,,,49.448678,10.285038,415.6,15.5,,,,,,,,,,,,,,GV-Bolzen,Mast,,,PS4GvBolzenLaenge.mm40,40.0,true,Intakt,,81-31,,,,,,"171
",28G0549110
81-32T,,5321,Rechts,PS4,fotos/20260217_131401_81-32_1.jpg,fotos/20260217_131401_81-32_2_overlay.jpg,,,,2026-02-17T13:14:16.060663,User,Neupunkt,,Ja,Intakt,Keine Punktbeschreibung,,,,49.448649,10.283728,415.6,12.0,,,,,,,,,,,,,,GV-Bolzen,Mast,,,PS4GvBolzenLaenge.mm40,40.0,true,Intakt,,81-32,,,,,,171,28G0549110
81-33T,,5321,Links,PS4,fotos/20260217_132217_81-33_1.jpg,fotos/20260217_132217_81-33_2_overlay.jpg,,,,2026-02-17T13:22:33.304723,User,Neupunkt,,Ja,Intakt,Keine Punktbeschreibung,,,,49.448613,10.285332,415.6,30.0,,,,,,,,,,,,,,GV-Bolzen,Mast,,,PS4GvBolzenLaenge.mm40,40.0,true,Intakt,,81-33,,,,,,171,28G0549110
81-34T,,5321,Rechts,PS4,fotos/20260217_131150_81-34_1.jpg,,,,,2026-02-17T13:12:10.908142,User,Neupunkt,,Ja,Intakt,Keine Punktbeschreibung,,,,49.448735,10.28539,415.6,16.5,,,,,,,,,,,,,,GV-Bolzen,Mast,,,PS4GvBolzenLaenge.mm40,30.0,true,Intakt,,81-34,,,,,,171,28G0549110
82-10T,,5321,Rechts,PS4,fotos/20260217_125533_82-10_1.jpg,fotos/20260217_125533_82-10_2_overlay.jpg,,,,2026-02-17T12:55:54.101368,User,Neupunkt,,Ja,Intakt,Keine Punktbeschreibung,,,,49.448428,10.280945,413.9,20.5,,,,,,,,,,,,,,GV-Bolzen,Mast,,,PS4GvBolzenLaenge.mm40,50.0,true,Intakt,20.0,82-10,,,,,,Code 171,28G0549110
82-11T,,5321,Rechts,PS4,fotos/20260217_145621_82-11_1.jpg,fotos/20260217_145621_82-11_2_overlay.jpg,,,,2026-02-17T14:56:36.737491,User,Neupunkt,,Ja,Intakt,Keine Punktbeschreibung,,,,49.448335,10.280093,413.8,11.0,,,,,,,,,,,,,,GV-Bolzen,Mast,,,PS4GvBolzenLaenge.mm40,20.0,true,Intakt,20.0,82-11,,,,,,Code 171,28G0549110
82-12T,,5321,Rechts,PS4,fotos/20260217_125352_82-12_1.jpg,fotos/20260217_125352_82-12_2_overlay.jpg,,,,2026-02-17T12:54:07.550729,User,Neupunkt,,Ja,Intakt,Keine Punktbeschreibung,,,,49.449424,10.277148,413.9,25.5,,,,,,,,,,,,,,GV-Bolzen,Mast,,,PS4GvBolzenLaenge.mm40,40.0,true,Intakt,20.0,82-12,,,,,,Code 171,28G0549110
82-13T,,5321,Rechts,PS4,fotos/20260217_145435_82-13_1.jpg,fotos/20260217_145435_82-13_2_overlay.jpg,,,,2026-02-17T14:54:52.289020,User,Neupunkt,,Ja,Intakt,Keine Punktbeschreibung,,,,49.449517,10.276573,413.8,47.0,,,,,,,,,,,,,,GV-Bolzen,Mast,,,PS4GvBolzenLaenge.mm40,50.0,true,Intakt,20.0,82-13,,,,,,Code 171,28G0549110
82-14T,,5321,Rechts,PS4,fotos/20260217_125209_83-14_1.jpg,fotos/20260217_125209_83-14_2_overlay.jpg,,,,2026-02-17T12:52:25.455565,User,Neupunkt,,Ja,Intakt,Keine Punktbeschreibung,,,,49.449567,10.27673,413.9,32.5,,,,,,,,,,,,,,GV-Bolzen,Mast,,,PS4GvBolzenLaenge.mm40,50.0,true,Intakt,20.0,83-14,,,,,,Code 171,28G0549110
82-15T,,5321,Rechts,PS4,fotos/20260217_145206_82-15_1.jpg,fotos/20260217_145206_82-15_2_overlay.jpg,,,,2026-02-17T14:52:23.209324,User,Neupunkt,,Ja,Intakt,Keine Punktbeschreibung,,,,49.449813,10.27597,413.8,9.5,,,,,,,,,,,,,,GV-Bolzen,Mast,,,PS4GvBolzenLaenge.mm40,60.0,true,Intakt,20.0,82-15,,,,,,Code 171,28G0549110
82-16T,,5321,Rechts,PS4,fotos/20260217_125042_82-16_1.jpg,fotos/20260217_125042_82-16_2_overlay.jpg,,,,2026-02-17T12:50:56.910624,User,Neupunkt,,Ja,Intakt,Keine Punktbeschreibung,,,,49.448708,10.278901,413.9,15.5,,,,,,,,,,,,,,GV-Bolzen,Mast,,,PS4GvBolzenLaenge.mm40,50.0,true,Intakt,20.0,82-16,,,,,,Code 171,28G0549110
82-17T,,5321,Rechts,PS4,fotos/20260217_145011_82-17_1.jpg,fotos/20260217_145011_82-17_2_overlay.jpg,,,,2026-02-17T14:50:25.906264,User,Neupunkt,,Ja,Intakt,Keine Punktbeschreibung,,,,49.448754,10.278045,413.8,11.5,,,,,,,,,,,,,,GV-Bolzen,Mast,,,PS4GvBolzenLaenge.mm40,20.0,true,Intakt,20.0,82-17,,,,,,Code 171,28G0549110
82-18T,,5321,Rechts,PS4,fotos/20260217_124900_82-18_1.jpg,fotos/20260217_124900_82-18_2_overlay.jpg,,,,2026-02-17T12:49:16.333625,User,Neupunkt,,Ja,Intakt,Keine Punktbeschreibung,,,,49.449897,10.276037,413.9,20.5,,,,,,,,,,,,,,GV-Bolzen,Mast,,,PS4GvBolzenLaenge.mm40,60.0,true,Intakt,20.0,82-18,,,,,,171,28G0549110
82-19T,,5321,Rechts,PS4,fotos/20260217_144830_82-19_1.jpg,fotos/20260217_144830_82-19_2_overlay.jpg,,,,2026-02-17T14:48:47.078953,User,Neupunkt,,Ja,Intakt,Keine Punktbeschreibung,,,,49.450106,10.27555,413.8,16.0,,,,,,,,,,,,,,GV-Bolzen,Mast,,,PS4GvBolzenLaenge.mm40,50.0,true,Intakt,20.0,82-19,,,,,,Code 171,28G0549110
82-1T,,5321,Links,PS4,fotos/20260217_132441_82-1_1.jpg,fotos/20260217_132441_82-1_2_overlay.jpg,,,,2026-02-17T13:24:56.205993,User,Neupunkt,,Ja,Intakt,Keine Punktbeschreibung,,,,49.448629,10.284734,415.6,11.5,,,,,,,,,,,,,,GV-Bolzen,Mast,,,PS4GvBolzenLaenge.mm40,50.0,true,Intakt,,82-1,,,,,,171,28G0549110
82-20T,,5321,Rechts,PS4,fotos/20260217_124639_82-20_1.jpg,fotos/20260217_124639_82-20_2_overlay.jpg,,,,2026-02-17T12:47:00.718979,User,Bestandspunkt,,Ja,Intakt,Keine Punktbeschreibung,,,,49.449148,10.277498,413.9,9.0,,,,,,,,,,,,,,GV-Bolzen,Mast,,,PS4GvBolzenLaenge.mm30,30.0,true,Intakt,20.0,82-20,,,,,,Bolzen 26mm,28G0549110
82-21T,,5321,Rechts,PS4,fotos/20260217_144633_82-21_1.jpg,fotos/20260217_144633_82-21_2_overlay.jpg,,,,2026-02-17T14:46:49.506229,User,Neupunkt,,Ja,Intakt,Keine Punktbeschreibung,,,,49.449952,10.276609,413.8,98.4000015258789,,,,,,,,,,,,,,GV-Bolzen,Mast,,,PS4GvBolzenLaenge.mm40,40.0,true,Intakt,20.0,82-21,,,,,,Code 171,28G0549110
82-22T,,5321,Rechts,PS4,fotos/20260217_124433_82-22_1.jpg,fotos/20260217_124433_82-22_2_overlay.jpg,,,,2026-02-17T12:44:49.364981,User,Bestandspunkt,,Ja,Intakt,Keine Punktbeschreibung,,,,49.450442,10.275272,413.9,36.0,,,,,,,,,,,,,,GV-Bolzen,Mast,,,PS4GvBolzenLaenge.mm30,50.0,true,Intakt,20.0,82-22,,,,,,Bolzen 27mm,28G0549110
82-23T,,5321,Rechts,PS4,fotos/20260217_144437_82-23_1.jpg,fotos/20260217_144437_82-23_2_overlay.jpg,,,,2026-02-17T14:44:51.917,User,Neupunkt,,Ja,Intakt,Keine Punktbeschreibung,,,,49.450127,10.276221,413.8,98.4000015258789,,,,,,,,,,,,,,GV-Bolzen,Mast,,,PS4GvBolzenLaenge.mm40,,true,Intakt,20.0,82-23,,,,,,Code 171,28G0549110
82-24T,,5321,Rechts,PS4,fotos/20260217_124218_82-24_1.jpg,fotos/20260217_124218_82-24_2_overlay.jpg,,,,2026-02-17T12:42:37.447361,User,Bestandspunkt,,Ja,Intakt,Keine Punktbeschreibung,,,,49.450083,10.27637,413.9,98.4000015258789,,,,,,,,,,,,,,GV-Bolzen,Mast,,,PS4GvBolzenLaenge.mm30,40.0,true,Intakt,20.0,82-24,,,,,,Bolzen 25mm,28G0549110
82-25T,,5321,Rechts,PS4,fotos/20260217_144252_82-25_1.jpg,fotos/20260217_144252_82-25_2_overlay.jpg,,,,2026-02-17T14:43:10.723864,User,Neupunkt,,Ja,Intakt,Keine Punktbeschreibung,,,,49.450127,10.276221,413.8,98.4000015258789,,,,,,,,,,,,,,GV-Bolzen,Mast,,,PS4GvBolzenLaenge.mm40,20.0,true,Intakt,20.0,82-25,,,,,,Code 171,28G0549110
82-26T,,5321,Rechts,PS4,fotos/20260217_123941_82-26_1.jpg,fotos/20260217_123941_82-26_2_overlay.jpg,,,,2026-02-17T12:40:01.676612,User,Bestandspunkt,,Ja,Intakt,Keine Punktbeschreibung,,,,49.45055,10.275244,414.1,10.0,,,,,,,,,,,,,,GV-Bolzen,Mast,,,PS4GvBolzenLaenge.mm30,110.0,true,Intakt,20.0,82-26,,,,,,"Bolzen 25mm
171",28G0549110
82-27T,,5321,Rechts,PS4,fotos/20260217_150833_82-27_1.jpg,fotos/20260217_150833_82-27_2_overlay.jpg,fotos/20260217_144107_82-27_3.jpg,fotos/20260217_144107_82-27_4_overlay.jpg,,2026-02-17T14:41:23.604099,User,Neupunkt,,Ja,Intakt,Keine Punktbeschreibung,,,,49.450127,10.276221,413.8,,,,,,,,,,,,,,,GV-Bolzen,Mast,,,PS4GvBolzenLaenge.mm40,30.0,true,Intakt,20.0,82-27,,,,,,171,28G0549110
82-28T,,5321,Rechts,PS4,fotos/20260217_123731_82-28_1.jpg,fotos/20260217_123731_82-28_2_overlay.jpg,,,,2026-02-17T12:37:46.675455,User,Neupunkt,,Ja,Intakt,Keine Punktbeschreibung,,,,49.450337,10.275806,414.1,98.4000015258789,,,,,,,,,,,,,,GV-Bolzen,Mast,,,PS4GvBolzenLaenge.mm40,60.0,true,Intakt,20.0,82-28,,,,,,171,28G0549110
82-29T,,5321,Rechts,PS4,fotos/20260217_143819_82-29_1.jpg,fotos/20260217_143819_82-29_2_overlay.jpg,,,,2026-02-17T14:38:31.533424,User,Neupunkt,,Ja,Intakt,Keine Punktbeschreibung,,,,49.450641,10.274732,420.7,11.0,,,,,,,,,,,,,,GV-Bolzen,Mast,,,PS4GvBolzenLaenge.mm40,40.0,true,Intakt,20.0,82-29,,,,,,171,28G0549110
82-2T,,5321,Rechts,PS4,fotos/20260217_130615_82-2_1.jpg,fotos/20260217_130615_82-2_2_overlay.jpg,,,,2026-02-17T13:06:33.121793,User,Neupunkt,,Ja,Intakt,Keine Punktbeschreibung,,,,49.448642,10.284367,426.0,8.5,,,,,,,,,,,,,,GV-Bolzen,Mast,,,PS4GvBolzenLaenge.mm40,50.0,true,Intakt,20.0,82-2,,,,,,Code 171,28G0549110
82-30T,,5321,Rechts,PS4,fotos/20260217_123416_82-30_1.jpg,fotos/20260217_123416_82-30_2_overlay.jpg,,,,2026-02-17T12:34:32.144265,User,Neupunkt,,Ja,Intakt,Keine Punktbeschreibung,,,,49.450933,10.275143,413.5,,,,,,,,,,,,,,,GV-Bolzen,Mast,,,PS4GvBolzenLaenge.mm40,100.0,true,Intakt,20.0,82-30,,,,,,171,28G0549110
82-31T,,5321,Rechts,PS4,fotos/20260217_143421_82-31_1.jpg,fotos/20260217_143421_82-31_2_overlay.jpg,,,,2026-02-17T14:34:39.336294,User,Neupunkt,,Ja,Intakt,Keine Punktbeschreibung,,,,49.450986,10.274416,420.1,10.0,,,,,,,,,,,,,,GV-Bolzen,Mast,,,PS4GvBolzenLaenge.mm40,50.0,true,Intakt,20.0,82-31,,,,,,171,28G0549110
